id,name,industry,country,sent,price,itemCount
241,ta.A.,Financials,Brazil,11,-4%,7
4035,yo.V.,Materials,United Kingdom,27,8%,7
2837,hanc.,Consumer Discretionary,United States,2,2%,8
4423,BS AG,Financials,Switzerland,72,-2%,3
7093,talic,Energy,Azerbaijan,46,-7%,5
7591,hetd.,Consumer Discretionary,China,14,-8%,0
518,'O SA,Consumer Staples,France,46,1%,6
10028,oyada,Financials,Canada,57,4%,8
9482,heted,Utilities,Japan,61,8%,8
9140,uzion,Consumer Discretionary,Japan,27,7%,2
9177,edion,Healthcare,Japan,21,1%,7
9700,uanc.,Information Technology,Taiwan,10,-8%,0
2946,wenc.,Consumer Discretionary,United States,22,-2%,6
8678,detd.,Energy,Japan,13,-7%,4
4295,chted,Energy,United States,79,4%,0
4579,ep.A.,Energy,Spain,45,-7%,3
2933,acnc.,Information Technology,United States,49,-8%,0
477,ir SA,Industrials,France,53,2%,2
531,ch SE,Industrials,France,26,4%,0
2331,omPLC,Consumer Discretionary,United Kingdom,79,0%,3
4194,on.V.,Industrials,Netherlands,96,-7%,8
3956,orion,Energy,United States,5,7%,2
507,ocoup,Financials,France,78,0%,6
4206,hinc.,Consumer Staples,United States,76,1%,0
9415,asany,Industrials,Japan,88,-5%,8
4997,eiive,Consumer Discretionary,China,88,5%,4
3733,eeany,Industrials,United States,44,-4%,3
3059,heany,Consumer Staples,United States,26,-5%,4
3793,nbnc.,Energy,Canada,88,6%,8
3317,ecion,Information Technology,United States,97,-4%,2
4124,okion,Information Technology,Finland,13,7%,2
2919,elbl),Information Technology,Sweden,81,-2%,4
3106,onnc.,Consumer Staples,United States,87,5%,1
2315,arPLC,Financials,United Kingdom,56,5%,3
4038,acnc.,Consumer Discretionary,United States,0,2%,4
2093,ottd.,Consumer Discretionary,South Korea,34,-3%,6
8756,umtd.,Consumer Discretionary,Japan,75,8%,0
3467,bbnc.,Healthcare,United States,21,5%,8
2127,amtd.,Financials,South Korea,60,7%,3
4356,heank,Financials,Canada,70,7%,3
7130,unted,Consumer Staples,Japan,100,0%,5
4646,edion,Financials,United States,30,-8%,3
8973,ECion,Information Technology,Japan,34,5%,8
4044,cDion,Consumer Discretionary,United States,96,-2%,4
3729,. any,Materials,United States,0,-8%,4
4123,orion,Industrials,United States,100,-3%,6
2115,amion,Industrials,South Korea,88,-1%,0
9481,huted,Utilities,Japan,51,4%,2
422,AP SE,Information Technology,Germany,89,-1%,2
2406,ubeft,Energy,Russia,0,-2%,0
228,an.A.,Financials,Brazil,12,2%,5
492,anone,Consumer Staples,France,95,1%,7
9677,omnc.,Information Technology,Taiwan,49,7%,0
9383,iznc.,Financials,Japan,40,7%,8
4408,esion,Energy,United States,52,-6%,2
4268,ayany,Industrials,United States,25,0%,4
3685,onips,Energy,United States,46,3%,1
3541,rrnc.,Information Technology,United States,42,8%,7
3221,UAted,Information Technology,United States,87,-7%,5
2938,letd.,Information Technology,Singapore,77,1%,7
3677,NH.V.,Industrials,United Kingdom,67,0%,1
8261,lfion,Healthcare,Japan,93,-2%,2
2314,AEplc,Industrials,United Kingdom,29,-3%,7
4192,heion,Financials,United States,18,7%,7
516,omSCA,Consumer Discretionary,France,56,-5%,5
9392,RIion,Financials,Japan,99,-6%,1
197,an.A.,Financials,Spain,20,-8%,4
2133,G td.,Information Technology,South Korea,87,7%,4
3804,nt.P.,Energy,United States,22,-7%,1
449,ei NV,Consumer Staples,Netherlands,32,8%,7
5163,hiion,Industrials,China,36,4%,8
3567,stPLC,Healthcare,United Kingdom,64,-4%,3
2748,mgnc.,Healthcare,United States,34,0%,8
4436,S rp.,Consumer Staples,United States,87,-6%,4
7754,ented,Information Technology,China,4,1%,0
2405,beJSC,Financials,Russia,74,-7%,2
3767,ukion,Utilities,United States,82,-1%,7
5654,S rp.,Energy,South Korea,98,-2%,3
9173,ittd.,Consumer Staples,Japan,32,-2%,8
7994,untd.,Consumer Discretionary,China,98,2%,4
3276,eaion,Consumer Discretionary,United States,68,8%,0
3737,olion,Consumer Discretionary,United States,54,-4%,6
7779,NOtd.,Energy,Hong Kong,48,0%,8
4367,evted,Healthcare,Israel,29,-7%,7
7962,idtd.,Consumer Discretionary,China,17,-6%,3
3818,ne.P.,Energy,United States,30,-7%,6
8646,UJion,Information Technology,Japan,24,-3%,1
158,ooted,Consumer Staples,Australia,55,-2%,7
3262,taion,Consumer Discretionary,United States,51,1%,1
7859,hitd.,Financials,China,56,5%,1
3517,utnc.,Consumer Discretionary,United States,55,0%,1
4108,atplc,Utilities,United Kingdom,15,2%,0
2361,m.plc,Consumer Staples,United Kingdom,0,-3%,3
7697,luted,Materials,China,3,-7%,3
3571,lited,Information Technology,China,15,4%,5
389,di AG,Consumer Discretionary,Germany,67,2%,8
191,el.A.,Telecommunication Services,Italy,9,4%,1
10082,MVaft,Energy,Austria,14,7%,6
4020,liany,Healthcare,United States,72,0%,5
5262,PCwan,Energy,Taiwan,9,-1%,1
3958,ntany,Materials,United States,24,-4%,7
213,omC.V,Consumer Staples,Mexico,69,-1%,1
1788,J ion,Industrials,South Korea,53,6%,8
3470,bbies,Healthcare,United States,89,1%,2
3555,vnnc.,Information Technology,United States,11,-7%,6
445,lt.V.,Consumer Discretionary,Netherlands,99,3%,6
503,au.A.,Consumer Discretionary,France,51,4%,1
2895,olnc.,Consumer Discretionary,United States,57,4%,2
4480,hiion,Consumer Discretionary,United States,56,2%,2
410,enGaA,Consumer Staples,Germany,42,8%,6
3537,rcnc.,Industrials,United States,65,-4%,0
7939,re AG,Financials,Switzerland,6,-1%,2
4031,ouCo.,Industrials,United States,1,1%,5
4333,unnc.,Energy,Canada,11,2%,7
9567,uztd.,Healthcare,Japan,76,7%,7
4172,la LP,Energy,United States,99,-3%,0
4169,la.P.,Energy,United States,73,-6%,1
8843,oyion,Consumer Discretionary,Japan,81,-6%,1
4171,ennc.,Consumer Discretionary,United States,75,4%,8
3073,ibplc,Consumer Discretionary,United Kingdom,15,0%,8
4431,niion,Industrials,United States,12,3%,4
4305,heany,Utilities,United States,86,3%,8
8286,apnc.,Consumer Staples,Japan,7,-2%,7
2118,T rp.,Telecommunication Services,South Korea,18,2%,5
3300,tanc.,Consumer Discretionary,United States,80,3%,7
8680,ostd.,Energy,Japan,39,-2%,1
3817,atplc,Industrials,Ireland,0,-7%,6
2377,olplc,Industrials,United Kingdom,96,-5%,5
6988,hoion,Materials,China,18,-4%,6
7863,ianc.,Industrials,China,2,2%,8
4374,enrp.,Healthcare,United States,91,-3%,1
2316,ri.c.,Consumer Staples,United Kingdom,31,1%,5
2350,mpPLC,Consumer Staples,United Kingdom,95,2%,8
3602,riany,Healthcare,United States,57,0%,4
9796,ision,Information Technology,Taiwan,60,-2%,5
8674,on.k.,Energy,Japan,99,6%,3
4066,ltnc.,Consumer Staples,United States,49,-1%,6
8229,irted,Consumer Staples,Japan,53,-3%,5
3682,apion,Financials,United States,21,2%,4
3847,luion,Industrials,United States,14,-8%,6
2399,PPplc,Consumer Discretionary,United Kingdom,100,-8%,6
8130,ektd.,Consumer Discretionary,Japan,7,0%,1
5799,NAtd.,Industrials,China,95,7%,7
10130,UI AG,Consumer Discretionary,Germany,100,4%,5
9230,ictd.,Information Technology,Japan,39,-1%,6
9919,hetia,Financials,Canada,92,-6%,7
2142,orrp.,Utilities,South Korea,32,-5%,6
8892,aitd.,Industrials,Japan,38,0%,1
4002,ohion,Consumer Discretionary,United States,28,-7%,0
8339,ornc.,Materials,Japan,34,7%,8
9957,mpted,Consumer Staples,Canada,12,-1%,8
4011,eaion,Consumer Discretionary,United States,14,0%,3
8999,haion,Consumer Discretionary,Japan,31,1%,4
3717,omnc.,Healthcare,United States,32,6%,1
405,reGAA,Healthcare,Germany,21,7%,6
3967,abnc.,Information Technology,United States,64,1%,2
504,al SA,Consumer Discretionary,France,61,8%,7
9490,ohnc.,Utilities,Japan,35,2%,0
4388,henc.,Healthcare,United States,49,8%,5
3910,henc.,Financials,United States,91,-4%,4
3987,imion,Consumer Staples,United States,30,-7%,6
7733,onted,Consumer Discretionary,China,35,4%,7
450,NG.V.,Financials,Netherlands,57,-1%,1
119,omlia,Financials,Australia,92,0%,1
7168,aiany,Utilities,Taiwan,4,2%,5
2161,G td.,Materials,South Korea,63,3%,8
9111,ition,Consumer Discretionary,Japan,91,4%,8
9985,mptd.,Energy,Canada,6,-5%,6
9433,ipsha,Industrials,Japan,4,-2%,3
8468,umtd.,Materials,Japan,31,-1%,1
4181,G&ion,Utilities,United States,39,-7%,4
192,ni.A.,Financials,Italy,57,6%,0
9109,sutd.,Consumer Discretionary,Japan,27,8%,6
3671,umnc.,Industrials,United States,23,-7%,6
3473,ECCOM,Industrials,United States,34,-8%,5
3705,ennc.,Telecommunication Services,United States,42,0%,4
3024,NTnc.,Financials,United States,42,1%,2
7682,AIted,Consumer Discretionary,China,91,0%,4
4070,olnc.,Healthcare,United States,7,8%,1
8778,IXion,Industrials,Japan,1,-7%,3
7583,F rp.,Consumer Discretionary,United States,77,1%,3
3792,meCo.,Industrials,United States,8,-7%,6
7858,hitd.,Industrials,China,19,-2%,7
8341,saion,Materials,Japan,61,-8%,0
7756,irted,Industrials,China,10,7%,8
9870,orrp.,Energy,Taiwan,4,6%,0
3920,uanc.,Utilities,China,89,2%,7
3189,ACInc,Industrials,United States,6,-7%,4
397,ay AG,Industrials,Germany,60,2%,7
9492,yuted,Utilities,Japan,47,-7%,5
4560,kabl),Industrials,Sweden,33,-2%,1
7886,intd.,Consumer Discretionary,China,8,6%,1
7016,inoup,Energy,China,79,-1%,0
236,enras,Utilities,Brazil,6,7%,1
2382,kyplc,Consumer Discretionary,United Kingdom,37,-2%,8
8096,baion,Industrials,Japan,24,-4%,0
9816,PGted,Information Technology,Taiwan,77,6%,4
7920,mp.A.,Energy,Chile,90,-8%,1
3748,elPLC,Consumer Discretionary,United Kingdom,22,5%,0
3478,diplc,Consumer Discretionary,Ireland,50,8%,6
4577,erGaA,Healthcare,Germany,58,-5%,5
381,ovA/S,Healthcare,Denmark,49,5%,6
9916,CEnc.,Telecommunication Services,Canada,23,-5%,4
9541,ipion,Industrials,Japan,2,7%,3
7961,CLion,Consumer Discretionary,China,61,-3%,6
509,ha SA,Industrials,France,64,8%,3
270,atted,Materials,India,69,-5%,8
3639,arion,Consumer Discretionary,United States,0,8%,0
3481,menc.,Utilities,United States,62,2%,5
4189,erany,Consumer Staples,United States,49,8%,8
2210,antd.,Financials,South Korea,3,2%,0
9914,omnc.,Industrials,Canada,17,-1%,8
3008,ca.P.,Industrials,United States,53,5%,2
1779,yutd.,Industrials,South Korea,57,-8%,1
3990,arnc.,Consumer Discretionary,United States,14,-7%,2
9441,NAnc.,Industrials,Japan,44,1%,2
5754,eanc.,Healthcare,United States,22,-7%,8
8099,ajion,Industrials,Japan,67,-3%,1
4137,ucion,Materials,United States,17,-6%,7
2374,heplc,Financials,United Kingdom,83,-5%,0
9565,astd.,Consumer Discretionary,Japan,59,7%,4
3778,co SA,Energy,Colombia,31,-2%,4
9417,enany,Industrials,Japan,90,0%,7
4103,exnc.,Utilities,United States,8,3%,8
8817,ectd.,Industrials,Japan,4,8%,1
473,DP.A.,Utilities,Portugal,59,2%,4
8544,akted,Healthcare,Japan,42,-4%,2
4442,isnc.,Information Technology,United States,90,2%,2
8228,satd.,Consumer Staples,Japan,60,-4%,5
8671,ho.K.,Energy,Japan,23,-7%,2
4175,BFnc.,Energy,United States,10,5%,4
3381,esion,Information Technology,United States,88,-2%,4
8866,omtd.,Industrials,Japan,3,-4%,1
3895,alany,Energy,United States,9,-7%,4
3600,aneal,Financials,Canada,94,2%,5
4544,elASA,Telecommunication Services,Norway,37,-6%,0
3387,honc.,Consumer Staples,United States,19,-6%,8
3871,ennc.,Consumer Staples,United States,93,4%,3
441,kz.V.,Materials,Netherlands,40,-5%,8
4334,un LP,Energy,United States,46,1%,6
8717,obtd.,Materials,Japan,37,-6%,8
4515,erion,Information Technology,United States,69,-6%,4
2782,roted,Information Technology,Singapore,61,3%,3
7918,en.A.,Consumer Staples,Chile,77,3%,6
4568,YDtd.,Consumer Discretionary,China,90,-6%,1
3886,henc.,Consumer Discretionary,United States,59,7%,3
4159,mnnc.,Consumer Discretionary,United States,9,-3%,8
3883,enany,Consumer Discretionary,United States,62,1%,4
9110,intd.,Industrials,Japan,97,-2%,3
9505,TTion,Information Technology,Japan,100,-1%,1
3594,heion,Financials,United States,31,-5%,1
4867,lcent,Information Technology,France,62,-8%,0
3661,olany,Consumer Staples,United States,33,7%,7
7959,TErp.,Information Technology,China,66,-3%,6
2894,ision,Consumer Discretionary,United States,27,3%,4
7749,unted,Consumer Staples,Hong Kong,35,-1%,1
9399,ittd.,Real Estate,Japan,38,-1%,5
9497,oktd.,Utilities,Japan,83,-7%,2
414,AN SE,Industrials,Germany,9,7%,2
5208,MA.A.,Industrials,France,30,5%,0
1776,K nc.,Information Technology,South Korea,6,-3%,2
2334,iaplc,Consumer Staples,United Kingdom,95,-5%,3
2068,K td.,Telecommunication Services,South Korea,64,-7%,5
6797,ABted,Consumer Staples,United Kingdom,68,-4%,0
7223,heted,Financials,United Kingdom,48,-7%,6
7748,hitd.,Industrials,China,59,-8%,3
8876,ubion,Industrials,Japan,70,6%,2
423,ch AG,Consumer Discretionary,Germany,3,-2%,7
3979,ornc.,Consumer Discretionary,United States,32,-4%,3
3769,aVnc.,Healthcare,United States,33,-1%,3
3141,icnc.,Information Technology,United States,55,-1%,0
4208,henc.,Financials,United States,52,-1%,2
7691,retd.,Consumer Discretionary,China,25,-3%,2
317,hated,Telecommunication Services,India,63,8%,6
2356,ohPlc,Materials,United Kingdom,45,-5%,2
3486,llplc,Healthcare,Ireland,99,8%,0
230,ra.A.,Materials,Brazil,91,7%,4
1133,te.V.,Consumer Discretionary,South Africa,32,-1%,8
1876,yuany,Materials,South Korea,6,1%,6
8097,hirp.,Industrials,Japan,62,-4%,8
9545,amtd.,Consumer Discretionary,Japan,14,-5%,2
3536,raark,Consumer Discretionary,United States,6,8%,0
2154,OSion,Industrials,South Korea,66,0%,3
9693,SUnc.,Information Technology,Taiwan,27,0%,3
5318,aitd.,Consumer Discretionary,Japan,16,-2%,5
2,miJSC,Telecommunication Services,United Arab Emirates,62,-2%,4
4470,elnc.,Healthcare,United States,17,3%,8
1998,-Oion,Energy,South Korea,87,-1%,5
7617,anion,Industrials,Philippines,88,1%,4
3837,irrp.,Utilities,United States,28,7%,5
4569,B bl),Consumer Discretionary,Sweden,22,-2%,4
3741,anion,Healthcare,United States,62,2%,7
404,vo AG,Materials,Germany,100,2%,8
4303,YNion,Information Technology,United States,73,5%,1
9100,HIion,Industrials,Japan,60,7%,4
9099,awtd.,Industrials,Japan,9,2%,7
108,usted,Financials,Australia,16,8%,7
2826,DWion,Information Technology,United States,6,-6%,6
4071,onany,Materials,United States,85,-1%,2
